Tag,Frequency(f),Sat_Penalty,Is_Valid
"뉴스",8,0.8007,YES
"news",8,0.8007,YES
"MBC",4,0.946,YES
"MBC뉴스",4,0.946,YES
"뉴스데스크",4,0.946,YES
"newsdesk",4,0.946,YES
"뉴스투데이",4,0.946,YES
"newstoday",4,0.946,YES
"8시뉴스",4,0.946,YES
"아침뉴스",4,0.946,YES
"정오뉴스",4,0.946,YES
"YTN실시간",3,0.9692,YES
"YTN",3,0.9692,YES
"미국",3,0.9692,YES
"트럼프",3,0.9692,YES
"shorts",3,0.9692,YES
"연합뉴스",2,0.9862,YES
"yonhapnews",2,0.9862,YES
"영상",2,0.9862,YES
"이슈",2,0.9862,YES
"디지털",2,0.9862,YES
"화제",2,0.9862,YES
"밀리터리",2,0.9862,YES
"KBS",2,0.9862,YES
"KBS NEWS",2,0.9862,YES
"KBS뉴스",2,0.9862,YES
"NEWS",2,0.9862,YES
"kbs뉴스",2,0.9862,YES
"kbs 뉴스",2,0.9862,YES
"kbs news",2,0.9862,YES
"kbs",2,0.9862,YES
"930뉴스",2,0.9862,YES
"12시뉴스",2,0.9862,YES
"930",2,0.9862,YES
"12시",2,0.9862,YES
"finance",2,0.9862,YES
"world news",2,0.9862,YES
"latest news",2,0.9862,YES
"today news",2,0.9862,YES
"실시간",2,0.9862,YES
"실시간 뉴스",2,0.9862,YES
"엠비씨 뉴스",2,0.9862,YES
"엠비씨",2,0.9862,YES
"뉴스 실시간",2,0.9862,YES
"뉴스속보",2,0.9862,YES
"한국전쟁",1,0.9965,YES
"ai복원",1,0.9965,YES
"참전용사",1,0.9965,YES
"영웅",1,0.9965,YES
"미국이란전쟁",1,0.9965,YES
"쿠르드족",1,0.9965,YES
"이란침공",1,0.9965,YES
"지상전",1,0.9965,YES
"중동전쟁",1,0.9965,YES
"제3차세계대전",1,0.9965,YES
"트럼프2기",1,0.9965,YES
"시리아내전",1,0.9965,YES
"튀르키예",1,0.9965,YES
"국제정세",1,0.9965,YES
"전쟁이슈",1,0.9965,YES
"이스라엘",1,0.9965,YES
"무장세력",1,0.9965,YES
"독립전쟁",1,0.9965,YES
"미국외교",1,0.9965,YES
"세계뉴스",1,0.9965,YES
"긴급속보",1,0.9965,YES
"장기전",1,0.9965,YES
"중동분쟁",1,0.9965,YES
"바이든트럼프",1,0.9965,YES
"지정학",1,0.9965,YES
"석유가격",1,0.9965,YES
"전쟁시나리오",1,0.9965,YES
"쿠르드반군",1,0.9965,YES
"이란핵",1,0.9965,YES
"미군철수",1,0.9965,YES
"용병",1,0.9965,YES
"국제전략",1,0.9965,YES
"자막뉴스",1,0.9965,YES
"한국문학사",1,0.9965,YES
"3050Club",1,0.9965,YES
"source:영상",1,0.9965,YES
"type:디지털",1,0.9965,YES
"genre:국제",1,0.9965,YES
"format:기타",1,0.9965,YES
"series:자막뉴스",1,0.9965,YES
"미국주식",1,0.9965,YES
"나스닥",1,0.9965,YES
"주식시황",1,0.9965,YES
"경제뉴스",1,0.9965,YES
"연준",1,0.9965,YES
"bitcoin",1,0.9965,YES
"인플레이션",1,0.9965,YES
"금리상승",1,0.9965,YES
"금리",1,0.9965,YES
"fed",1,0.9965,YES
"fomc",1,0.9965,YES
"파월",1,0.9965,YES
"증시전망",1,0.9965,YES
"투자전략",1,0.9965,YES
"금리전망",1,0.9965,YES
"주가전망",1,0.9965,YES
"금융시장브리핑",1,0.9965,YES
"증시폭락",1,0.9965,YES
"고용지표",1,0.9965,YES
"산타랠리",1,0.9965,YES
"재테크",1,0.9965,YES
"주식",1,0.9965,YES
"투자",1,0.9965,YES
"환율",1,0.9965,YES
"달러",1,0.9965,YES
"도지",1,0.9965,YES
"인플레",1,0.9965,YES
"국제유가",1,0.9965,YES
"일론머스크",1,0.9965,YES
"애플",1,0.9965,YES
"금리인상",1,0.9965,YES
"금리인하",1,0.9965,YES
"연준파월",1,0.9965,YES
"파월의장",1,0.9965,YES
"fed파월",1,0.9965,YES
"금리결정",1,0.9965,YES
"연준금리",1,0.9965,YES
"금융시장",1,0.9965,YES
"시황",1,0.9965,YES
"해외시황",1,0.9965,YES
"스태그플레이션",1,0.9965,YES
"tqqq",1,0.9965,YES
"sqqq",1,0.9965,YES
"테슬라",1,0.9965,YES
"오늘의선물",1,0.9965,YES
"오선",1,0.9965,YES
"오늘시황",1,0.9965,YES
"오늘의시황",1,0.9965,YES
"인버스",1,0.9965,YES
"인버스etf",1,0.9965,YES
"통화전망",1,0.9965,YES
"불라드",1,0.9965,YES
"연준연설",1,0.9965,YES
"연준라이브",1,0.9965,YES
"soxl",1,0.9965,YES
"soxs",1,0.9965,YES
