videoId,title,channelTitle,publishedAt
"Y1GUkU6GVOk",전쟁 4일 비용 5조… 미국 이란 공격 규모,투데이슈,2026-03-07T04:45:02Z
"DmyhEF00vSY",⛺️ 미국–이란 충돌 속에서 쿠르드 세력이 움직이는 배경...(2026.03.07),김용석 (UOUkimys),2026-03-07T04:28:26Z
"beqZlS7mM-Y",미 항모 레이저 방공 무기 실전 요격 성공 #미국 #이란 #전쟁,요물 (Yomul),2026-03-07T03:53:30Z
"TFXjJEG1My8",[🔴 무조건 간다 LIVE] 폭탄 수십 개가 비처럼···이란이 쏜 &#39;악마의 무기&#39;, 어떻길래?,뉴스TVCHOSUN,2026-03-07T03:11:15Z
"FqKShFNxujc",#shorts미국은 왜 이란을 공격했나 #미국 이란 전쟁#역사,이야기 학당,2026-03-07T03:05:13Z
"iqC-lqj9dcg",미국 : 이란 너 미사일 몇개야?,박선원TV,2026-03-07T03:00:46Z
"tehN9rKwn74",미국, 이란 다음 차례 북한 정조준, 이재명은 여전히 반미 북한 찬양,뉴올프레스리얼,2026-03-07T03:00:00Z
"8bg32O8x7Cg",미국-이란 전쟁. 중국은 왜 웃고 있을까!? (Feat, 호르무즈 해협),머니 카풀,2026-03-07T03:00:00Z
"rqvgc-5vFsE",[🔴현장영상] 방공망 뚫고 이라크 석유 단지에 떨어진 이란 드론…이스라엘 텔아비브부터 이라크 에너지 단지까지 동시 타격   / 연합뉴스TV(YonhapnewsTV),연합뉴스TV,2026-03-07T02:37:05Z
"GhXQNEHDWDE",이란 극초음속 미사일에 미국이 처음으로 당황한 이유  #군사  #밀리터리,멀더의 밀리터리,2026-03-07T02:14:20Z
"sXlwM7dbyOY",[🔴속보] &quot;러시아, 이란에 美 군함·항공기 등 중동 미군 자산 위치정보 제공&quot;｜표적 탐지 능력 약화한 이란, 러 정보 지원으로 보완  / 연합뉴스TV(YonhapnewsTV),연합뉴스TV,2026-03-07T01:47:00Z
"jQlC5NVizN8",미국 이란 전쟁 시나리오: 4주 만에 군사력 무력화하는 미군의 작전 계획 #shorts,썰!프라이즈,2026-03-07T01:37:12Z
"pb5rcihs2DE",미국 이란 전쟁 발발? 주식 다 팔고 도망가야 할까? (바벨 전략 ㄷㄷ) #shorts,오드리햇반-시니어 공감 살롱,2026-03-07T01:30:44Z
"1CI-BCkWuSI",드론 떼 잡는 가성비 무기 레이저 오딘(ODIN) 등장  #미국 #이란 #이재명 #휘발유 #이스라엘 #기름값 #경유,정치123,2026-03-07T01:24:35Z
"vIesVC8OpHg",[주말 특강] 미국-이란 전쟁이 개미에게 남긴 7가지 뼈아픈 교훈 (수익은 종목, 생존은 구조!) 🔥 #ai투자 #주식 #경기전망,AI 믿고 사는 주린이,2026-03-07T01:01:07Z
"60x1m29Gzl0",미국 이란 전쟁 위기를 기회로 돈버는 사람들,쩜잼 : 어쩌면 재미있는 이야기,2026-03-07T01:00:06Z
"lu2NpeYI07M",쿠르드족의 운명 #shorts #지정학 #쿠르드독립 #미국이란 #전쟁의이면 #역사반복,곰돌이_생활정보,2026-03-07T00:54:20Z
"ZVS1hyj4XkU",[🔴LIVE] 美, 이란 표적 3천곳 논스톱 융단 폭격/&#39;요격 불가&#39; 파괴자 맞불...이 시각 중동/2026년 3월 7일(토)/KBS,KBS News,2026-03-06T23:52:35Z
"u7beA1rn6M8",미국 이란 전쟁 8일차 끝나는 시점 대부분 전문가 예상 3가지 시나리오,정경사 인사이트(JGS INSIGHT),2026-03-06T23:10:06Z
"0p_XCnxLY24",미국 이란 전쟁이 장기화되면 세계 경제에 벌어질 일 TOP 5,Everyday Mix,2026-03-06T22:45:00Z
